university,year,rank_display,score,link,country,city,region,logo,type,research_output,student_faculty_ratio,international_students,size,faculty_count
Massachusetts Institute of Technology (MIT) ,2017,1,100,https://www.topuniversities.com/universities/massachusetts-institute-technology-mit,United States,Cambridge,North America,https://www.topuniversities.com/sites/default/files/massachusetts-institute-of-technology-mit_410_small.jpg,Private,Very High,4,"3,730",M,"3,065"
Massachusetts Institute of Technology (MIT) ,2018,1,100,https://www.topuniversities.com/universities/massachusetts-institute-technology-mit,United States,Cambridge,North America,https://www.topuniversities.com/sites/default/files/massachusetts-institute-of-technology-mit_410_small.jpg,Private,Very High,4,"3,730",M,"3,065"
Massachusetts Institute of Technology (MIT) ,2019,1,100,https://www.topuniversities.com/universities/massachusetts-institute-technology-mit,United States,Cambridge,North America,https://www.topuniversities.com/sites/default/files/massachusetts-institute-of-technology-mit_410_small.jpg,Private,Very High,4,"3,730",M,"3,065"
Massachusetts Institute of Technology (MIT) ,2020,1,100,https://www.topuniversities.com/universities/massachusetts-institute-technology-mit,United States,Cambridge,North America,https://www.topuniversities.com/sites/default/files/massachusetts-institute-of-technology-mit_410_small.jpg,Private,Very High,4,"3,730",M,"3,065"
Massachusetts Institute of Technology (MIT) ,2021,1,100,https://www.topuniversities.com/universities/massachusetts-institute-technology-mit,United States,Cambridge,North America,https://www.topuniversities.com/sites/default/files/massachusetts-institute-of-technology-mit_410_small.jpg,Private,Very High,4,"3,730",M,"3,065"
Massachusetts Institute of Technology (MIT) ,2022,1,100,https://www.topuniversities.com/universities/massachusetts-institute-technology-mit,United States,Cambridge,North America,https://www.topuniversities.com/sites/default/files/massachusetts-institute-of-technology-mit_410_small.jpg,Private,Very High,4,"3,730",M,"3,065"
Stanford University,2017,2,98.7,https://www.topuniversities.com/universities/stanford-university,United States,Stanford,North America,https://www.topuniversities.com/sites/default/files/stanford-university_573_small.jpg,Private,Very High,3,"3,879",L,"4,725"
Stanford University,2018,2,98.7,https://www.topuniversities.com/universities/stanford-university,United States,Stanford,North America,https://www.topuniversities.com/sites/default/files/stanford-university_573_small.jpg,Private,Very High,3,"3,879",L,"4,725"
Stanford University,2019,2,98.6,https://www.topuniversities.com/universities/stanford-university,United States,Stanford,North America,https://www.topuniversities.com/sites/default/files/stanford-university_573_small.jpg,Private,Very High,3,"3,879",L,"4,725"
Stanford University,2020,2,98.4,https://www.topuniversities.com/universities/stanford-university,United States,Stanford,North America,https://www.topuniversities.com/sites/default/files/stanford-university_573_small.jpg,Private,Very High,3,"3,879",L,"4,725"
Stanford University,2021,2,98.4,https://www.topuniversities.com/universities/stanford-university,United States,Stanford,North America,https://www.topuniversities.com/sites/default/files/stanford-university_573_small.jpg,Private,Very High,3,"3,879",L,"4,725"
University of Oxford,2022,2,99.5,https://www.topuniversities.com/universities/university-oxford,United Kingdom,Oxford,Europe,https://www.topuniversities.com/sites/default/files/university-of-oxford_478_small.jpg,Public,Very High,3,"8,442",L,"6,708"
Harvard University,2017,3,98.3,https://www.topuniversities.com/universities/harvard-university,United States,Cambridge,North America,https://www.topuniversities.com/sites/default/files/harvard-university_253_small.jpg,Private,Very High,5,"5,877",L,"4,646"
Harvard University,2018,3,98.4,https://www.topuniversities.com/universities/harvard-university,United States,Cambridge,North America,https://www.topuniversities.com/sites/default/files/harvard-university_253_small.jpg,Private,Very High,5,"5,877",L,"4,646"
Harvard University,2019,3,98.5,https://www.topuniversities.com/universities/harvard-university,United States,Cambridge,North America,https://www.topuniversities.com/sites/default/files/harvard-university_253_small.jpg,Private,Very High,5,"5,877",L,"4,646"
Harvard University,2020,3,97.4,https://www.topuniversities.com/universities/harvard-university,United States,Cambridge,North America,https://www.topuniversities.com/sites/default/files/harvard-university_253_small.jpg,Private,Very High,5,"5,877",L,"4,646"
Harvard University,2021,3,97.9,https://www.topuniversities.com/universities/harvard-university,United States,Cambridge,North America,https://www.topuniversities.com/sites/default/files/harvard-university_253_small.jpg,Private,Very High,5,"5,877",L,"4,646"
Stanford University,2022,3,98.7,https://www.topuniversities.com/universities/stanford-university,United States,Stanford,North America,https://www.topuniversities.com/sites/default/files/stanford-university_573_small.jpg,Private,Very High,3,"3,879",L,"4,725"
University of Cambridge,2022,3,98.7,https://www.topuniversities.com/universities/university-cambridge,United Kingdom,Cambridge,Europe,https://www.topuniversities.com/sites/default/files/university-of-cambridge_95_small.jpg,Public,Very high,4,"7,925",L,"5,800"
California Institute of Technology (Caltech),2018,4,97.7,https://www.topuniversities.com/universities/california-institute-technology-caltech,United States,Pasadena,North America,https://www.topuniversities.com/sites/default/files/california-institute-of-technology-caltech_94_small.jpg,Private,Very High,2,692,S,968
California Institute of Technology (Caltech),2019,4,97.2,https://www.topuniversities.com/universities/california-institute-technology-caltech,United States,Pasadena,North America,https://www.topuniversities.com/sites/default/files/california-institute-of-technology-caltech_94_small.jpg,Private,Very High,2,692,S,968
California Institute of Technology (Caltech),2021,4,97,https://www.topuniversities.com/universities/california-institute-technology-caltech,United States,Pasadena,North America,https://www.topuniversities.com/sites/default/files/california-institute-of-technology-caltech_94_small.jpg,Private,Very High,2,692,S,968
University of Cambridge,2017,4,97.2,https://www.topuniversities.com/universities/university-cambridge,United Kingdom,Cambridge,Europe,https://www.topuniversities.com/sites/default/files/university-of-cambridge_95_small.jpg,Public,Very high,4,"7,925",L,"5,800"
University of Oxford,2020,4,97.2,https://www.topuniversities.com/universities/university-oxford,United Kingdom,Oxford,Europe,https://www.topuniversities.com/sites/default/files/university-of-oxford_478_small.jpg,Public,Very High,3,"8,442",L,"6,708"
California Institute of Technology (Caltech),2017,5,96.9,https://www.topuniversities.com/universities/california-institute-technology-caltech,United States,Pasadena,North America,https://www.topuniversities.com/sites/default/files/california-institute-of-technology-caltech_94_small.jpg,Private,Very High,2,692,S,968
California Institute of Technology (Caltech),2020,5,96.9,https://www.topuniversities.com/universities/california-institute-technology-caltech,United States,Pasadena,North America,https://www.topuniversities.com/sites/default/files/california-institute-of-technology-caltech_94_small.jpg,Private,Very High,2,692,S,968
Harvard University,2022,5,98,https://www.topuniversities.com/universities/harvard-university,United States,Cambridge,North America,https://www.topuniversities.com/sites/default/files/harvard-university_253_small.jpg,Private,Very High,5,"5,877",L,"4,646"
University of Cambridge,2018,5,95.6,https://www.topuniversities.com/universities/university-cambridge,United Kingdom,Cambridge,Europe,https://www.topuniversities.com/sites/default/files/university-of-cambridge_95_small.jpg,Public,Very high,4,"7,925",L,"5,800"
University of Oxford,2019,5,96.8,https://www.topuniversities.com/universities/university-oxford,United Kingdom,Oxford,Europe,https://www.topuniversities.com/sites/default/files/university-of-oxford_478_small.jpg,Public,Very High,3,"8,442",L,"6,708"
University of Oxford,2021,5,96.7,https://www.topuniversities.com/universities/university-oxford,United Kingdom,Oxford,Europe,https://www.topuniversities.com/sites/default/files/university-of-oxford_478_small.jpg,Public,Very High,3,"8,442",L,"6,708"
California Institute of Technology (Caltech),2022,6,97.4,https://www.topuniversities.com/universities/california-institute-technology-caltech,United States,Pasadena,North America,https://www.topuniversities.com/sites/default/files/california-institute-of-technology-caltech_94_small.jpg,Private,Very High,2,692,S,968
ETH Zurich - Swiss Federal Institute of Technology,2020,6,95.9,https://www.topuniversities.com/universities/eth-zurich-swiss-federal-institute-technology,Switzerland,Zurich,Europe,https://www.topuniversities.com/sites/default/files/eth-zurich-swiss-federal-institute-of-technology_201_small.jpg,Public,Very High,7,"7,733",L,"2,719"
ETH Zurich - Swiss Federal Institute of Technology,2021,6,95,https://www.topuniversities.com/universities/eth-zurich-swiss-federal-institute-technology,Switzerland,Zurich,Europe,https://www.topuniversities.com/sites/default/files/eth-zurich-swiss-federal-institute-of-technology_201_small.jpg,Public,Very High,7,"7,733",L,"2,719"
University of Cambridge,2019,6,95.6,https://www.topuniversities.com/universities/university-cambridge,United Kingdom,Cambridge,Europe,https://www.topuniversities.com/sites/default/files/university-of-cambridge_95_small.jpg,Public,Very high,4,"7,925",L,"5,800"
University of Oxford,2017,6,96.8,https://www.topuniversities.com/universities/university-oxford,United Kingdom,Oxford,Europe,https://www.topuniversities.com/sites/default/files/university-of-oxford_478_small.jpg,Public,Very High,3,"8,442",L,"6,708"
University of Oxford,2018,6,95.3,https://www.topuniversities.com/universities/university-oxford,United Kingdom,Oxford,Europe,https://www.topuniversities.com/sites/default/files/university-of-oxford_478_small.jpg,Public,Very High,3,"8,442",L,"6,708"
ETH Zurich - Swiss Federal Institute of Technology,2019,7,95.3,https://www.topuniversities.com/universities/eth-zurich-swiss-federal-institute-technology,Switzerland,Zurich,Europe,https://www.topuniversities.com/sites/default/files/eth-zurich-swiss-federal-institute-of-technology_201_small.jpg,Public,Very High,7,"7,733",L,"2,719"
Imperial College London,2022,7,97.3,https://www.topuniversities.com/universities/imperial-college-london,United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/imperial-college-london_592560cf2aeae70239af4be8_small.jpg,Public,Very High,5,"11,143",L,"8,000"
